,0,1,2,3,forecast,,,,,,,,,
229,11/20/2022,5.571428571,11/20/2022,0,,,,,,,,,,
230,11/21/2022,6.857142857,11/21/2022,11,,,,,,,,,,
231,11/22/2022,5.285714286,11/22/2022,6,,,,,,,,,,
232,11/23/2022,5.571428571,11/23/2022,9,,,,,,,,,,
233,11/24/2022,5,11/24/2022,0,,,,,,,,,,
234,11/25/2022,3.714285714,11/25/2022,0,,,,,,,,,,
235,11/26/2022,3.714285714,11/26/2022,0,,,,,,,,,,
236,11/27/2022,3.714285714,11/27/2022,0,,,,,,,,,,
237,11/28/2022,3.714285714,11/28/2022,11,,,,,,,,,,
238,11/29/2022,5,11/29/2022,15,,,,,,,,,,
239,11/30/2022,4.571428571,11/30/2022,6,,Predicted,,Naïve,,Difference,RMSD,Difference (naïve),,
240,12/1/2022,6.142857143,12/1/2022,11,,6.142857143,,4.3673,,,,,,
1,Actual,6.857142857,,5,,5.169785023,,4.3673,,1.687357834,1.302941561,2.489842857,1.776133225,0.246862137
2,,6.857142857,,0,,5.056354523,,4.3673,,1.800788334,,2.489842857,,#DIV/0!
3,,6.857142857,,0,,4.996387482,,4.3673,,1.860755375,,2.489842857,,
4,,5.714285714,,3,,4.958063126,,4.3673,,0.756222589,,1.346985714,,
5,,5.285714286,,12,,4.971372604,,4.3673,,0.314341681,,0.918414286,,
6,,5,,4,,4.995015621,,4.3673,,0.004984379,,0.6327,,
7,,3.714285714,,2,,5.002875328,,4.3673,,-1.288589614,,-0.653014286,,
